uoc,saf,tipo_organismo,n_adj,localidad,provincia,lat,lon,confianza,fuente,verificado
40/005 - BASE AEREA MILITAR MORON,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,410,Morón,Buenos Aires,-34.6474573245916,-58.6218615494078,alta,denominacion,1
84/05 - Comando de la 3ra División de Ejército,374 - Estado Mayor General del Ejercito,seguridad_defensa,404,Paraná,Entre Ríos,-31.7401601621031,-60.5274260494443,media,deepseek+georef,0
74/34 - Direccion de Lucha Contra Incendios Forestales y Emergencias - Administración de Parques Nacionales,107 - Administración de Parques Nacionales,administracion,403,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
78/000 - División Compras,200 - Registro Nacional de las Personas,administracion,403,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/36 - Escuela Militar de Montaña,374 - Estado Mayor General del Ejercito,seguridad_defensa,402,San Martín de los Andes,Neuquén,-40.1569379390652,-71.352714325536,alta,deepseek+georef,0
41 - División Compras y Contrataciones-IGN,450 - Instituto Geográfico Nacional,ciencia_universidad,401,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/12 - 12° Neuquen - DNV,604 - Dirección Nacional de Vialidad,infraestructura,397,Neuquén,Neuquén,-38.9518288206176,-68.0591813073308,alta,denominacion,1
40/030 - UOC LADE,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,396,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
87 - Coordinación de Compras; Contrataciones y Servicios Generales - INCAA,801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA,cultura_educacion,396,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
392/000 - Dirección General de Administración - AABE,205 - Agencia de Administración de Bienes del Estado,administracion,396,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
44/000 - Gerencia de Servicios Centrales - CNV,602 - Comisión Nacional de Valores,administracion,396,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
90 - Departamento de Compras y Licitaciones-ENOHSA,613 - Ente Nacional de Obras Hídricas de Saneamiento,infraestructura,394,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/147 - ESCUELA MILITAR DE MONTE,374 - Estado Mayor General del Ejercito,seguridad_defensa,392,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
27/000 - Dirección de Patrimonio y Suministros - INDEC,321 - Instituto Nacional de Estadísticas y Censos,administracion,390,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
76/000 - Gerencia de Administración y Capital Humano - SIGEN,109 - Sindicatura General de la Nación,administracion,389,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
30/00 - División Contrataciones - Policia Federal Argentina,326 - Super Intendencia de la Administracion de la Policia Federal,seguridad_defensa,386,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
96 - Dirección General de Administración,908 - Hospital Nacional Dr. Alejandro Posadas,salud_social,376,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,alta,deepseek+georef,1
43 - Departamento de Compras  - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares - Ministerio de Defensa,470 - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares,seguridad_defensa,373,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
75 - Instituto Nacional del Agua - Departamente Compras,108 - Instituto Nacional del Agua,ciencia_universidad,365,Ezeiza,Buenos Aires,-34.8543939582115,-58.524757807358,media,deepseek+georef,0
40/34 - Base Aérea Militar Río Gallegos,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,362,Río Gallegos,Santa Cruz,-51.6234632663739,-69.2158645331237,alta,denominacion,1
262/000 - Dirección General de Administración Y Finanzas - MAD,317 - Ministerio de Ambiente y Desarrollo Sostenible,administracion,362,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/10 - 10° Corrientes - DNV,604 - Dirección Nacional de Vialidad,infraestructura,353,Corrientes,Corrientes,-27.4633450136008,-58.8394728460849,alta,denominacion,1
71 -   Coordinación de Contrataciones y Patrimonio-SSS,914 - Superintendencia de Servicios de Salud,salud_social,353,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
22 - Dpto de Compras y Suministros - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,seguridad_defensa,345,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/98 - Regimiento de Infantería 1 Patricios,374 - Estado Mayor General del Ejercito,seguridad_defensa,342,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
327 - Departamento de Compras y Contrataciones- ANAC,669 - Administración Nacional de Aviación Civil,administracion,341,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/32 - Liceo Militar General Araoz de Lamadrid,374 - Estado Mayor General del Ejercito,seguridad_defensa,337,San Miguel de Tucumán,Tucumán,-26.8303887617109,-65.2037797033494,media,deepseek+georef,0
37/001 - Unidad Tecnica Administrativa Contable DNG,375 - Gendarmeria Nacional,seguridad_defensa,336,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
101 - Departamento de Compras y Contrataciones,622 - Instituto Nacional de la Propiedad Industrial,administracion,335,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/29 - Liceo Militar General Espejo,374 - Estado Mayor General del Ejercito,seguridad_defensa,333,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,media,deepseek+georef,0
40/037 - INSTITUTO DE FORMACION EZEIZA,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,330,Ezeiza,Buenos Aires,-34.8543939582115,-58.524757807358,alta,denominacion,1
Servicio Geológico Minero Argentino - Dir. Administración y Finanzas - Compras,624 - Servicio Geológico Minero Argentino,ciencia_universidad,323,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/143-JEFATURA DE AGRUPACION DE ARTILLERIA DE CAMPAÑA 601,374 - Estado Mayor General del Ejercito,seguridad_defensa,319,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
80/000 - Dirección General de Administración - MS,310 - Secretaría de Gobierno de Salud,salud_social,318,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/35 - Instituto Social Militar Dámaso Centeno,374 - Estado Mayor General del Ejercito,seguridad_defensa,312,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/14 - 14° San Luis - DNV,604 - Dirección Nacional de Vialidad,infraestructura,309,San Luis,San Luis,-33.3020864829706,-66.336854573535,alta,denominacion,1
Departamento Contrataciones Córdoba - UOC 40/52,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,306,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
46/05 - 5° Salta - DNV,604 - Dirección Nacional de Vialidad,infraestructura,304,Salta,Salta,-24.7831983811283,-65.4102509654276,alta,denominacion,1
31/000 - Direccion de Contrataciones - SPF,331 - Servicio Penitenciario Federal,seguridad_defensa,304,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
24/000 - Dirección General de Administración - SEDRONAR,303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR),salud_social,302,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/003 - Parque Nacional Lanin,107 - Administración de Parques Nacionales,administracion,300,San Martín de los Andes,Neuquén,-40.1569379390652,-71.352714325536,alta,deepseek+georef,0
84/74 - Sastrería Militar,374 - Estado Mayor General del Ejercito,seguridad_defensa,298,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
289 - Dirección General de Administración-SMN,452 - Servicio Metereológico Nacional,ciencia_universidad,293,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/005 - Escuela De  Gendarmería Nacional Grl D. M.M. De Güemes,375 - Gendarmeria Nacional,seguridad_defensa,286,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
46/09 - 9° San Juan - DNV,604 - Dirección Nacional de Vialidad,infraestructura,284,San Juan,San Juan,-31.5372590360945,-68.5250172058885,alta,denominacion,1
451/000 - Dirección de Contrataciones,327 - Ministerio de Transporte,infraestructura,282,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/014 - Destacamento Movil 2,375 - Gendarmeria Nacional,seguridad_defensa,279,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
340/001 - Dirección General de Administración - SSSLD,376 - Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa,seguridad_defensa,277,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
50 - Departamento de Compras y Contrataciones,614 - Instituto Nacional de Semillas,administracion,275,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/34 - Regimiento de Granaderos a Caballo,374 - Estado Mayor General del Ejercito,seguridad_defensa,274,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
33/000 - Dirección General de Administración - MT,350 - Secretaría de Gobierno de Trabajo y Empleo,salud_social,270,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
142/000 –Subsecretaria de Gestión Administrativa de Innovación; Ciencia y Tecnología,336 - SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA,ciencia_universidad,267,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
300/000 - Dirección General de Administración - SECLyT,338 - Secretaria Legal y Técnica,administracion,266,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/026 - DIRECCION DE VIGILANCIA Y CONTROL DEL AEROESPACIO,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,264,Morón,Buenos Aires,-34.6474573245916,-58.6218615494078,media,deepseek+georef,0
18 - Area Compras-INAES,114 - Instituto Nacional de Asociativismo y Economía Social,administracion,263,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/009 - Instituto De Capacitación Especializada Cabo Juan Adolfo Romero,375 - Gendarmeria Nacional,seguridad_defensa,262,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
84/138 - Comando de la Fuerza de Despliegue Rápido,374 - Estado Mayor General del Ejercito,seguridad_defensa,262,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
38/28 - Liceo Naval Militar Almirante Storni,379 - Estado Mayor General de la Armada,seguridad_defensa,258,Posadas,Misiones,-27.3664259799962,-55.8939802751923,media,deepseek+georef,0
37/002 - Unidad Tecnica Administrativa Contable Digeapoyo,375 - Gendarmeria Nacional,seguridad_defensa,256,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
457/000 - SECRETARÍA DE MEDIOS Y COMUNICACIÓN PÚBLICA - COORD. COMPRAS Y CONTRATACIONES,347 - Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,administracion,252,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/007 - Escuela De Suboficiales Cabo Raúl Remberto Cuello,375 - Gendarmeria Nacional,seguridad_defensa,252,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
64/000 - Departamento de Compras y Contrataciones- SRT,852 - Superintendencia de Riesgos de Trabajo,administracion,250,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/043 - LICEO AERONAUTICO MILITAR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,249,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,deepseek+georef,0
37/003 - Centro Asistencial Buenos Aires,375 - Gendarmeria Nacional,seguridad_defensa,249,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/04 - Comando de la 2da División de Ejército,374 - Estado Mayor General del Ejercito,seguridad_defensa,248,Rosario,Santa Fe,-32.9472133838031,-60.6331755763544,media,deepseek+georef,0
38/11 - División de Compras - Destacamento naval Rio Grande,379 - Estado Mayor General de la Armada,seguridad_defensa,248,Río Grande,Tierra del Fuego,-53.7863260891398,-67.6963281355519,alta,denominacion,1
37/083 - Secretaria General,375 - Gendarmeria Nacional,seguridad_defensa,246,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/072 - Servicio De Aviación,375 - Gendarmeria Nacional,seguridad_defensa,245,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
494 - Área de Compras y Contrataciones,121 - Banco Nacional de Datos Genéticos,ciencia_universidad,242,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/02 - IGUAZU- OFICINA DE ADMINISTRACION,107 - Administración de Parques Nacionales,administracion,237,Puerto Iguazú,Misiones,-25.5972100979327,-54.5772230013845,alta,deepseek+georef,0
38/030 - Fragata A.R.A. Libertad,379 - Estado Mayor General de la Armada,seguridad_defensa,232,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Gobierno de Cultura,cultura_educacion,231,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/10 - INTENDENCIA EL PALMAR,107 - Administración de Parques Nacionales,administracion,230,Concordia,Entre Ríos,-31.3974508914818,-58.0172034297914,media,deepseek+georef,0
483 - Compras,917 - Agencia Nacional de Discapacidad,salud_social,224,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/02 - 2° Córdoba - DNV,604 - Dirección Nacional de Vialidad,infraestructura,222,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
84/41 - Contaduría general del Ejercito,374 - Estado Mayor General del Ejercito,seguridad_defensa,220,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
56 - Compras y Contrataciones - ENRE,652 - Ente Nacional Regulador de la Electricidad,administracion,218,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/013 - Comando De Región II,375 - Gendarmeria Nacional,seguridad_defensa,217,Rosario,Santa Fe,-32.9472133838031,-60.6331755763544,media,deepseek+georef,0
40/023 - VII BRIGADA AEREA MORENO,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,216,Moreno,Buenos Aires,-34.6469059433022,-58.7889292381186,alta,denominacion,1
501/000-Ministerio de Obras Públicas,364-Ministerio de Obras Públicas,infraestructura,215,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/46 - Parque Nacional Iberá,107 - Administración de Parques Nacionales,administracion,208,Colonia Carlos Pellegrini,Corrientes,-28.5372356876725,-57.1713500894698,media,deepseek+georef,0
263 - Unidad Operativa de Compras-SENAF,341 - Secretaría Nacional de Niñez; Adolescencia y Familia,salud_social,203,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
500/000-Ministerio de las Mujeres; Géneros y Diversidad - Dirección de Compras; Contrataciones; Patrimonio y Suministros,386-Ministerio de las Mujeres; Géneros y Diversidad,salud_social,196,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/034 - Arsenal Naval Mar del Plata,379 - Estado Mayor General de la Armada,seguridad_defensa,194,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,denominacion,1
37/010 - Comando De Región I,375 - Gendarmeria Nacional,seguridad_defensa,194,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
26/000 - Dirección de Compras y Contrataciones - MRE,307 - Ministerio de Relaciones Exteriores y Culto,administracion,192,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
488 - Coordinación de Compras y Contrataciones,349 - Procuración del Tesoro de la Nación,administracion,189,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/105 - Direccion De Criminalistica Y Estudios Forenses,375 - Gendarmeria Nacional,seguridad_defensa,186,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
AGRUPACION CENTINELA II,375 - Gendarmeria Nacional,seguridad_defensa,185,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
502/000-Dirección de Compras y Contrataciones - MDTYH,365-Ministerio de Desarrollo Territorial y Hábitat,infraestructura,184,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/25 - Parque Nacional Ciervo de los Pantanos,107 - Administración de Parques Nacionales,administracion,181,Campana,Buenos Aires,-34.1636631,-58.9586837,media,deepseek+nominatim,0
74/04 - Parque Nacional Los Alerces,107 - Administración de Parques Nacionales,administracion,180,Esquel,Chubut,-42.9173207104894,-71.3215725535306,alta,deepseek+georef,0
40/11 - UOC DPTO CDR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,179,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
74/28 - Parque Nacional Río Pilcomayo,107 - Administración de Parques Nacionales,administracion,179,Clorinda,Formosa,-25.2860808806453,-57.7224081997743,media,deepseek+georef,0
38/35 - Escuela Nacional de Pesca - Armada Argentina,379 - Estado Mayor General de la Armada,seguridad_defensa,177,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,deepseek+georef,0
45 - Dirección General de Administración-SSN,603 - Superintendencia de Seguros de la Nación,administracion,173,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
313/00 - AGENCIA NACIONAL DE SEGURIDAD VIAL - DEP. DE COMPRAS,203 - Agencia Nacional de Seguridad Vial,administracion,172,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/27 - Parque Nacional Chaco,107 - Administración de Parques Nacionales,administracion,171,Capitán Solari,Chaco,-26.8023878089949,-59.5570832354769,media,deepseek+georef,0
34/000 - Dirección General de Administración - MHA,357- Ministerio de Hacienda,administracion,168,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/047 - Jefatura De Agrupación X San Juan,375 - Gendarmeria Nacional,seguridad_defensa,167,San Juan,San Juan,-31.5372590360945,-68.5250172058885,alta,denominacion,1
74/17 - Parque Nacional Talampaya,107 - Administración de Parques Nacionales,administracion,167,Villa Unión,La Rioja,-29.3165749850402,-68.2273993332811,alta,deepseek+georef,0
334/000 - Coordinación de Compras y Contrataciones - MA,363 - Ministerio de Agricultura; Ganadería y Pesca,administracion,165,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/038 - Escuadrón 20 Orán,375 - Gendarmeria Nacional,seguridad_defensa,164,Orán,Salta,-23.33267,-64.3165433,alta,deepseek+nominatim,1
74/44 - Parque Nacional el Impenetrable,107 - Administración de Parques Nacionales,administracion,162,Juan José Castelli,Chaco,-25.9465789293466,-60.6200670449467,media,deepseek+georef,0
37/040 - Escuadrón 52 Tartagal,375 - Gendarmeria Nacional,seguridad_defensa,160,Tartagal,Salta,-22.5168183262948,-63.8056049178567,alta,denominacion,1
466/000 - Dirección Nacional de Administración,208 - Agencia Nacional de Materiales Controlados,administracion,158,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
74/31 - Parque Nacional Lihué Calel,107 - Administración de Parques Nacionales,administracion,158,Lihué Calel,La Pampa,-38.0041979,-65.5948505,alta,denominacion,1
37/017 - Escuadrón 47 Ituzaingo,375 - Gendarmeria Nacional,seguridad_defensa,158,Ituzaingó,Corrientes,-27.5851000792357,-56.68704523972,alta,denominacion,1
38/029 - Zona Naval Santa Cruz,379 - Estado Mayor General de la Armada,seguridad_defensa,157,Río Gallegos,Santa Cruz,-51.6234632663739,-69.2158645331237,alta,deepseek+georef,0
60 - Oficina de Compras y Contrataciones - CONEAU,804 - Comisión Nacional de Evaluación y Acreditación Universitaria,ciencia_universidad,156,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
82 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,330 - Ministerio de Educación; Cultura; Ciencia y Tecnología,cultura_educacion,153,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/061 - Escuadrón 34 Bariloche,375 - Gendarmeria Nacional,seguridad_defensa,152,San Carlos de Bariloche,Río Negro,-41.1358081611304,-71.3043392567773,alta,deepseek+georef,1
36 - Departamento de Compras y Contrataciones - CITEDEF,372 - Instituto de Investigaciones Científicas y Técnicas para la Defensa,seguridad_defensa,150,Villa Martelli,Buenos Aires,-34.5513042797618,-58.5066267194854,alta,deepseek+georef,0
71 -   Coordinación de Contrataciones y Patrimonio-SSS,914 - Superintendecia de Servicios de Salud,salud_social,150,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
24/000 - Dirección General de Administración - SEDRONAR,303 - Secretaría de Políticas Integrales sobre Drogas,salud_social,149,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325 - Ministerio del Interior; Obras Públicas y Vivienda,infraestructura,148,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/051 - Escuadrón 27 Uspallata,375 - Gendarmeria Nacional,seguridad_defensa,147,Uspallata,Mendoza,-32.5911328492886,-69.3478325007629,alta,denominacion,1
74/35 - Parque Nacional Copo,107 - Administración de Parques Nacionales,administracion,146,Pampa del Infierno,Chaco,-26.5035583962904,-61.1765724474723,media,deepseek+georef,0
37/036 - Destacamento Movil 5,375 - Gendarmeria Nacional,seguridad_defensa,146,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
37/037 - Jefatura De Agrupación VII Salta,375 - Gendarmeria Nacional,seguridad_defensa,144,Salta,Salta,-24.7831983811283,-65.4102509654276,alta,denominacion,1
84/105 - DISTRITO ELECTORAL - SALTA,371 - Estado Mayor Conjunto (EMCO),seguridad_defensa,144,Salta,Salta,-24.7831983811283,-65.4102509654276,alta,denominacion,1
84/142 - Regimiento de Artillería 1,374 - Estado Mayor General del Ejercito,seguridad_defensa,143,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
84/109 - COMANDO GENERAL ELECTORAL,371 - Estado Mayor Conjunto (EMCO),seguridad_defensa,142,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
37/050 - Jefatura De Agrupación XI Cuyo,375 - Gendarmeria Nacional,seguridad_defensa,142,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,alta,deepseek+georef,0
450/000 - Dirección General de Administración y Finanzas,366 - Secretaría de Innovación Pública,administracion,139,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/115 - Escuadron 60 San Pedro,375 - Gendarmeria Nacional,seguridad_defensa,138,San Pedro,Buenos Aires,-33.6759480318045,-59.6630158141548,alta,denominacion,1
37/025 - Escuadrón 9 Oberá,375 - Gendarmeria Nacional,seguridad_defensa,137,Oberá,Misiones,-27.4867909555976,-55.1200569831231,alta,denominacion,1
37/060 - Escuadrón 33 San Martin De Los Andes,375 - Gendarmeria Nacional,seguridad_defensa,136,San Martín de los Andes,Neuquén,-40.1569379390652,-71.352714325536,alta,denominacion,1
38/13 - Centro de instrucción y adiestramiento en técnicas y tácticas navales,379 - Estado Mayor General de la Armada,seguridad_defensa,134,Puerto Belgrano,Buenos Aires,-38.8778269,-62.090821,media,deepseek+nominatim,0
37/019 - Jefatura De Agrupación V Entre Rios,375 - Gendarmeria Nacional,seguridad_defensa,134,Paraná,Entre Ríos,-31.7401601621031,-60.5274260494443,alta,deepseek+georef,0
37/078 - Escuadrón 57 Santo Tome,375 - Gendarmeria Nacional,seguridad_defensa,131,Santo Tomé,Corrientes,-28.5498158069218,-56.0348110765932,alta,denominacion,1
74/20 - Parque Nacional Quebrada del Condorito,107 - Administración de Parques Nacionales,administracion,129,Parque Nacional Quebrada del Condorito,Córdoba,-31.6687529,-64.7702443,alta,denominacion,1
368/000 - Dirección General de Administración - UIF,670 - Unidad de Información Financiera,administracion,129,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/110 - Jefatura De Agrupacion XV Santa Fe,375 - Gendarmeria Nacional,seguridad_defensa,128,Santa Fe,Santa Fe,-31.6574749533861,-60.7104784410123,alta,denominacion,1
37/109 - Jefatura De Agrupacion XVII Santiago Del Estero,375 - Gendarmeria Nacional,seguridad_defensa,128,Santiago del Estero,Santiago del Estero,-27.787684474002,-64.259668066644,alta,denominacion,1
37/026 - Escuadrón 10 Eldorado,375 - Gendarmeria Nacional,seguridad_defensa,127,Eldorado,Misiones,-26.4088769640649,-54.6070530398259,alta,denominacion,1
37/111 - Agrupación Mantenimiento y Capacitación de Tecnologías de la  Información y Comunicaciones,375 - Gendarmeria Nacional,seguridad_defensa,127,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
37/027 - Escuadrón 11 San Ignacio,375 - Gendarmeria Nacional,seguridad_defensa,125,San Ignacio,Misiones,-27.2586133303264,-55.5389747941103,alta,denominacion,1
37/064 - Escuadrón 36 Esquel,375 - Gendarmeria Nacional,seguridad_defensa,124,Esquel,Chubut,-42.9173207104894,-71.3215725535306,alta,denominacion,1
58 - Dto de compras y contrataciones  - ORSNA,664 - Organismo Regulador del Sistema Nacional de Aeropuertos,administracion,122,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/018 - Escuadron 7 Pasos De Los Libres,375 - Gendarmeria Nacional,seguridad_defensa,122,Paso de los Libres,Corrientes,-29.7137148107283,-57.085405398509,alta,deepseek+georef,1
88/00 - Compras - Instituto Nacional de Rehabilitación Psicofísica del Sur,910 - Instituto Nacional de Rehabilitación Psicofísica del Sur DR. Juan otimio Tessone,salud_social,120,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,deepseek+georef,1
74/09 - INTENDENCIA LAGO PUELO,107 - Administración de Parques Nacionales,administracion,120,Lago Puelo,Chubut,-42.0601321615066,-71.5971400319398,alta,denominacion,1
37/042 - Escuadrón 54 Aguaray,375 - Gendarmeria Nacional,seguridad_defensa,120,Aguaray,Salta,-22.2448726575794,-63.7353344088724,alta,denominacion,1
37/029 - Escuadrón 13 Iguazú,375 - Gendarmeria Nacional,seguridad_defensa,120,Puerto Iguazú,Misiones,-25.5972100979327,-54.5772230013845,alta,deepseek+georef,1
37/015 - Jefatura De Agrupacion III Corrientes,375 - Gendarmeria Nacional,seguridad_defensa,115,Corrientes,Corrientes,-27.4633450136008,-58.8394728460849,alta,denominacion,1
380/000 - COMPRAS Y CONTRATACIONES - CNCPS,345 - Consejo Nacional de Coordinación de Politicas Sociales,salud_social,114,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/011 - Destacamento Movil 1,375 - Gendarmeria Nacional,seguridad_defensa,114,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
37/095 - Escuadrón 22 San Antonio De Los Cobres,375 - Gendarmeria Nacional,seguridad_defensa,112,San Antonio de los Cobres,Salta,-24.2161442771278,-66.3210644859191,alta,denominacion,1
37/121 - Instituto De Formacion De Gendarmes Gendarmes Felix Manifior,375 - Gendarmeria Nacional,seguridad_defensa,112,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
91/00 - Departamento de Compras; Mantenimiento y Suministros,103 - Consejo Nacional de Investigaciones Científicas y Técnicas,ciencia_universidad,111,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
37/129 - Agrupación Fuerza de Operaciones Especiales,375 - Gendarmeria Nacional,seguridad_defensa,111,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,media,deepseek+georef,0
84/116 - DISTRITO ELECTORAL - SANTA FE,371 - Estado Mayor Conjunto (EMCO),seguridad_defensa,110,Santa Fe,Santa Fe,-31.6574749533861,-60.7104784410123,alta,denominacion,1
37/093 - Escuadron Seguridad Vial Autopistas Sur,375 - Gendarmeria Nacional,seguridad_defensa,109,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
